LastName,,Trump,Clinton
FirstName,,Donald,Hillary
OfficeTitle,,President and Vice President,President and Vice President
LocalityCode,precinct_name,,
1,## Provi,1.0,3.0
1,ACCOMAC,637.0,486.0
1,ATLANTIC,553.0,175.0
1,BLOXOM,342.0,141.0
1,BOBTOWN,369.0,202.0
1,CHINCOTE,1188.0,444.0
1,Central ,644.0,784.0
1,GREENBAC,697.0,302.0
1,MAPPSVIL,243.0,397.0
1,MELFA,392.0,436.0
1,NANDUA,976.0,805.0
1,NEW CHUR,592.0,713.0
1,PAINTER,618.0,1042.0
1,PARKSLEY,489.0,218.0
1,RUE,119.0,385.0
1,SAXIS,153.0,42.0
1,TANGIER,221.0,27.0
1,WACHAPRE,349.0,138.0
3,## Provi,29.0,48.0
3,AGNOR-HU,406.0,1106.0
3,BAKER-BU,938.0,1117.0
3,BELFIELD,290.0,431.0
3,BRANCHLA,208.0,546.0
3,BROWNSVI,1192.0,1802.0
3,CALE,805.0,2198.0
3,COUNTRY ,555.0,957.0
3,CROZET,1081.0,1576.0
3,Central ,1828.0,4707.0
3,DUNLORA,592.0,1363.0
3,EARLYSVI,1045.0,1061.0
3,EAST IVY,245.0,397.0
3,FREE BRI,823.0,1627.0
3,FREE UNI,444.0,484.0
3,GEORGETO,398.0,1338.0
3,HOLLYMEA,654.0,971.0
3,IVY,818.0,1692.0
3,JACK JOU,531.0,897.0
3,KESWICK,397.0,538.0
3,MONTICEL,547.0,445.0
3,NORTHSID,901.0,1161.0
3,PORTERS,388.0,588.0
3,RED HILL,738.0,1103.0
3,SCOTTSVI,590.0,445.0
3,STONE RO,997.0,909.0
3,STONY PO,530.0,534.0
3,UNIVERSI,407.0,1851.0
3,WOODBROO,680.0,1192.0
3,YELLOW M,202.0,261.0
5,## Provi,1.0,1.0
5,ARRITT,521.0,138.0
5,CALLAGHA,325.0,74.0
5,Central ,331.0,203.0
5,DAMERON,196.0,51.0
5,DISTRICT,0.0,0.0
5,DOLLY AN,360.0,129.0
5,GRIFFITH,450.0,176.0
5,HUMPBACK,290.0,103.0
5,IRON GAT,155.0,104.0
5,JACKSON ,461.0,141.0
5,LOW MOOR,335.0,137.0
5,PETERS S,551.0,188.0
7,## Provi,4.0,6.0
7,Central ,511.0,287.0
7,NUMBER F,0.0,0.0
7,NUMBER O,740.0,334.0
7,NUMBER T,0.0,0.0
9,## Provi,0.0,0.0
9,AMELON,1487.0,711.0
