precinctlistv01
9082
	nb	sp	unshared	area	pop	voteA	voteB	congD
0	8682,8895,1,8894	0.00973944,0.03139618,0.00262897,0.01549645	0	0.00015120684549998077	1011	85	169	13
1	8682,8894,0,8895,41,4,22,21	0.06041764,0.01528087,0.00262897,0.03353195,0.04524623,0.01943614,0.19096422,0.01815232	0	0.0037233403944999526	2530	240	650	13
2	28,30,4,3,8717,-1,28,27,37	0.02655225,0.03482091,0.02454668,0.08955125,0.03999601,0.04400498,0.04206543,0.00199499,0.02909806	0	0.004784274607499994	3148	218	797	13
3	6,8684,2,4,5,8895,8687,8792,6,39,38	0.03088388,0.03098895,0.08955125,0.04316049,0.05836117,0.00300042,0.01186393,0.00754849,0.01576830,0.00622582,0.02005316	0	0.0024789616485000245	4271	358	875	13
4	2,30,40,12,22,1,41,5,3	0.02454668,0.09834672,0.02382336,0.05042334,0.00664792,0.01943614,0.04797108,0.08062936,0.04316049	0	0.0029839689339999182	2114	126	363	13
5	4,41,42,41,8895,3	0.08062936,0.00869499,0.02802319,0.02752234,0.03923771,0.05836117	0	0.0020323659570000204	2754	178	487	13
6	39,3,8792,8793,8684,3,38	0.01508759,0.01576830,0.00708424,0.01016479,0.00381585,0.03088388,0.01455361	0	0.00037635335349997626	2814	294	602	13
7	9,8,13,20,17	0.02206919,0.01582904,0.00988850,0.01298979,0.00180165	0	0.0001585220544999593	3383	333	187	13
8	40,13,7,9,10,11,12	0.02443807,0.01107405,0.01582904,0.03936047,0.00985641,0.03920589,0.04952984	0	0.0014315596245000506	1799	284	446	13
9	19,10,8,7,17,18	0.01588355,0.02242671,0.03936047,0.02206919,0.04030395,0.03552895	0	0.0016930117135000463	2176	352	562	13
10	26,11,25,11,8,9,19,3993,3104	0.15133140,0.00717634,0.04458794,0.05241191,0.00985641,0.02242671,0.19392702,0.04026163,0.06210868	0	0.012117493210000118	2392	219	541	13
11	32,12,8,10,25,10,26	0.07808188,0.09615112,0.03920589,0.05241191,0.01818747,0.00717634,0.10442430	0	0.00656504598300008	3767	330	922	13
12	8,11,32,22,4,40	0.04952984,0.09615112,0.08563170,0.02913535,0.05042334,0.11819931	0	0.007313644441000059	2610	211	458	13
13	15,20,7,8,40	0.01654320,0.00995886,0.00988850,0.01107405,0.00933908	0	0.0001454569259999984	2403	346	259	13
14	29,28,-292,15	0.09917482,0.09027347,0.04996922,0.16756086	0	0.005069673796500009	1892	202	513	13
15	-291,16,17,20,13,40,29,14	0.02606242,0.07089171,0.07230466,0.01248916,0.01654320,0.01609059,0.01450921,0.16756086	0	0.004281786041999982	1432	176	364	13
16	17,15,-290,8897,18	0.08302737,0.07089171,0.07714607,0.06941879,0.03871852	0	0.0038155345029999527	831	115	263	13
17	9,7,20,15,16,18	0.04030395,0.00180165,0.02165221,0.07230466,0.08302737,0.02562159	0	0.0017472074050000107	755	181	215	13
18	16,8897,24,19,9,17	0.03871852,0.01899341,0.07113225,0.06626518,0.03552895,0.02562159	0	0.0033163564774999336	943	107	291	13
19	24,4003,3993,10,9,18	0.13330920,0.00881249,0.03544645,0.19392702,0.01588355,0.06626518	0	0.0065599536685000785	2485	238	582	13
20	7,13,15,17	0.01298979,0.00995886,0.01248916,0.02165221	0	0.00015001270700001185	1834	267	288	13
21	22,23,8682,1	0.01078425,0.02558154,0.00670171,0.01815232	0	0.0001980919419999856	1521	143	357	13
22	1,4,12,32,33,35,23,21	0.19096422,0.00664792,0.02913535,0.06456351,0.03927148,0.00689377,0.09303535,0.01078425	0	0.004551180615500039	2820	207	486	13
23	22,35,8711,8682,21	0.09303535,0.08397147,0.07887902,0.00418408,0.02558154	0	0.002748191776999958	2960	261	758	13
24	8897,31,34,8896,4035,4023,4026,4003,19,18	0.03049346,0.02188731,0.07511623,0.06037656,0.03065569,0.04021020,0.03552718,0.00990915,0.13330920,0.07113225	0	0.010700440440000012	2879	289	704	13
25	10,11	0.04458794,0.01818747	0	0.00022329264499998947	952	106	170	13
26	3102,3135,3137,32,11,10,3104	0.05053570,0.10006003,0.00188928,0.08126972,0.10442430,0.15133140,0.02225056	0	0.011693610754499897	4156	284	942	13
27	2,28,37	0.00199499,0.05175238,0.02792415	0	0.00020455943700002277	2421	130	413	13
28	29,30,2,37,27,2,-293,14	0.01759168,0.01499170,0.02655225,0.01473634,0.05175238,0.04206543,0.12364480,0.09027347	0	0.002970109727499938	2700	169	671	13
29	15,40,30,28,14	0.01450921,0.03084818,0.08594270,0.01759168,0.09917482	0	0.002070371574000035	1778	230	456	13
30	4,2,28,29,40	0.09834672,0.03482091,0.01499170,0.08594270,0.07873853	0	0.0053485687964999525	4379	382	884	13
31	-288,8896,34,24,8897	0.01737115,0.05675098,0.05339210,0.02188731,0.12321684	0	0.0007898006904999236	1762	183	391	13
32	3137,33,22,12,11,26	0.02479967,0.18526734,0.06456351,0.08563170,0.07808188,0.08126972	0	0.005886576169000152	2298	125	482	13
33	35,36,35,22,32,3137,3099	0.05884005,0.02582928,0.05012670,0.03927148,0.18526734,0.05398950,0.03011522	0	0.006866945629999924	2369	141	649	13
34	24,31,8896	0.07511623,0.05339210,0.05934225	0	0.0006977500455000493	2114	208	515	13
35	8787,8711,23,22,33,36,33,3099	0.09967670,0.05345633,0.08397147,0.00689377,0.05012670,0.01584018,0.05884005,0.02244717	0	0.005871578359000257	2580	218	746	13
36	33,35	0.02582928,0.01584018	0	5.874852000002263e-05	833	37	95	13
37	2,27,28	0.02909806,0.02792415,0.01473634	0	0.00020442053799999278	2013	154	407	13
38	3,39,6	0.02005316,0.00775362,0.01455361	0	8.897294000001599e-05	1808	164	215	13
39	38,3,6	0.00775362,0.00622582,0.01508759	0	5.04186384999964e-05	1230	99	185	13
40	4,30,29,15,13,8,12	0.02382336,0.07873853,0.03084818,0.01609059,0.00933908,0.02443807,0.11819931	0	0.00208153367449996	2318	354	547	13
