precinctlistv01
2372
	nb	sp	unshared	area	pop	voteA	voteB	congD
0	19,-1,4,14,15	0.08440871,0.04464795,0.16490618,0.08223563,0.17511580	0	0.00838859328299987	1689	472	297	2
1	6,10,16,11,3,8,20	0.10751901,0.02241549,0.10252969,0.09286803,0.00671809,0.04091527,0.00198912	0	0.002809508912500022	1569	438	292	2
2	8,3,-211,1235,20	0.32864748,0.08159606,0.15523294,0.28331593,0.22243850	0	0.0267205668089998	410	62	126	2
3	13,-212,2,8,1,11,16,12,19,17	0.26971119,0.08333079,0.08159606,0.15562301,0.00671809,0.08821791,0.32020013,0.22033563,0.03246615,0.24748426	0	0.041090886707499885	3522	638	616	2
4	7,14,0,-218	0.05093490,0.05852095,0.16490618,0.19159284	0	0.008184967183500048	1859	489	228	2
5	14,7,-216	0.18278794,0.08720641,0.50725092	0	0.03108121370950004	2941	542	1173	2
6	10,1,20	0.07512894,0.10751901,0.13807685	0	0.002001519170500001	582	147	126	2
7	14,4,-217,5	0.07822775,0.05093490,0.13881662,0.08720641	0	0.0049825005095000974	1284	185	353	2
8	2,20,1,3	0.32864748,0.05762714,0.04091527,0.15562301	0	0.004141277318000021	539	122	160	2
9	17,18,15,14,-214,13	0.00410882,0.10960389,0.06717818,0.15074952,0.04950977,0.21566917	0	0.011138320726500166	2033	442	249	2
10	1037,16,1,6,20	0.01457033,0.39115166,0.02241549,0.07512894,0.36233565	0	0.011155646459499836	589	134	213	2
11	1,16,3	0.09286803,0.04374358,0.08821791	0	0.0014616392160000048	765	138	259	2
12	-3,19,3,16,1244,1243	0.49769819,0.03559450,0.22033563,0.23663571,0.03327492,0.08255355	0	0.05414318315549993	727	42	241	2
13	3,17,9,-213	0.26971119,0.06923930,0.21566917,0.10720906	0	0.013358694115000064	2056	465	137	2
14	0,4,7,5,-215,9,15	0.08223563,0.05852095,0.07822775,0.18278794,0.04984733,0.15074952,0.02397976	0	0.01569246153799983	1462	208	351	2
15	14,9,18,17,19,0	0.02397976,0.06717818,0.16192596,0.01863892,0.14824237,0.17511580	0	0.005359844865499812	819	108	214	2
16	11,1,10,1244,12,3	0.04374358,0.10252969,0.39115166,0.10758548,0.23663571,0.32020013	0	0.04138483041300107	2565	577	716	2
17	3,19,15,18,9,13	0.24748426,0.01852701,0.01863892,0.13153841,0.00410882,0.06923930	0	0.011272829785500463	2256	409	503	2
18	9,17,15	0.10960389,0.13153841,0.16192596	0	0.0053257284545002465	1404	174	306	2
19	17,3,12,-2,0,15	0.01852701,0.03246615,0.03559450,0.16632944,0.08440871,0.14824237	0	0.008286615671000058	529	55	137	2
20	1187,1037,10,6,1,8,2,1235,1236	0.04508828,0.07515386,0.36233565,0.13807685,0.00198912,0.05762714,0.22243850,0.02307950,0.39449647	0	0.0389606355175002	3564	1077	629	2
21	45,1504,1494,797,44,43	0.27468678,0.02122208,0.10187870,0.12766170,0.16956040,0.11285864	0	0.018465052312499956	2064	506	457	5
22	28,40,33,47,41,1791,1790,48	0.00948010,0.07148077,0.05946895,0.03410393,0.03920975,0.01629852,0.00660737,0.00854922	0	0.0021063511424999418	3589	749	433	5
23	39,36,44,796,1260,31	0.07285193,0.01670904,0.04309750,0.02769787,0.03905818,0.08560178	0	0.002926161277000008	2118	586	427	5
24	1788,32,31,37,34	0.05840770,0.02186294,0.07549185,0.06663020,0.05523690	0	0.0027890817724999144	4555	1237	794	5
25	26,27,39,32,1785	0.01676671,0.02302067,0.02819388,0.03403001,0.00411240	0	0.0005483059585000029	3596	990	854	5
26	27,25,1785,42	0.01577524,0.01676671,0.02897033,0.00131526	0	0.00015073703149997758	2221	476	269	5
27	43,36,25,26,42	0.02301310,0.03594368,0.02302067,0.01577524,0.01543660	0	0.0004978113195000337	4134	1096	497	5
28	30,29,40,22,48	0.07376385,0.00038125,0.18489568,0.00948010,0.07500203	0	0.005043377056000047	2912	806	517	5
29	258,256,46,40,28,30,704	0.08320180,0.01552475,0.20625762,0.09125062,0.00038125,0.16576515,0.10572699	0	0.013917438626500092	2432	497	566	5
30	29,28,48,34,704	0.16576515,0.07376385,0.04171891,0.15913216,0.08317430	0	0.013514366719499871	2469	456	497	5
31	24,32,39,23,1260,37	0.07549185,0.02271500,0.05868371,0.08560178,0.08086346,0.19410909	0	0.010498981816000029	2108	528	507	5
32	24,1788,1785,25,31	0.02186294,0.04480131,0.01440052,0.03403001,0.02271500	0	0.0005516388150000607	2697	858	535	5
33	40,38,45,43,47,22	0.07001847,0.05173503,0.09778976,0.08234944,0.07052417,0.05946895	0	0.0053446595749999624	4625	1594	1056	5
34	703,30,48,1784,1788,24,37,707	0.02330312,0.15913216,0.01149135,0.02078120,0.00796601,0.05523690,0.09120467,0.05371259	0	0.005712925521000044	3616	811	1098	5
35	38,40,1216	0.19627451,0.18161776,0.01086276	0	0.0030533155510000117	951	247	232	5
36	27,43,44,23,39	0.03594368,0.05908226,0.20502664,0.01670904,0.06512956	0	0.003921669239499863	3034	692	721	5
37	34,24,31,1260,1132,1139,707	0.09120467,0.06663020,0.19410909,0.04989723,0.08375801,0.07725812,0.01374890	0	0.013423387527500006	1962	567	380	5
38	155,45,33,35,1216,160	0.01037895,0.16203716,0.05173503,0.19627451,0.06432477,0.08787960	0	0.008466388025500027	4642	1224	967	5
39	25,36,23,31	0.02819388,0.06512956,0.07285193,0.05868371	0	0.0016317562780000516	6682	1627	1564	5
40	1216,35,33,22,28,29,46,1221,1224	0.09326768,0.18161776,0.07001847,0.07148077,0.18489568,0.09125062,0.17603817,0.01680370,0.05523348	0	0.02790605626149996	4010	1093	737	5
41	47,1792,1789,1792,1791,22	0.02031552,0.02479066,0.02260866,0.02003245,0.02013809,0.03920975	0	0.00032149797050004205	5260	955	359	5
42	1792,47,43,27,26,1785	0.01971851,0.00621377,0.01826140,0.01543660,0.00131526,0.00959993	0	0.00019219061749999375	4751	1302	462	5
43	47,33,21,44,36,27,42	0.02765528,0.08234944,0.11285864,0.03732444,0.05908226,0.02301310,0.01826140	0	0.0037307862385000407	3182	801	602	5
44	797,795,796,23,36,43,21	0.02527376,0.08326951,0.04418954,0.04309750,0.20502664,0.03732444,0.16956040	0	0.008768125248000101	3984	1057	1093	5
45	33,38,155,1504,21	0.09778976,0.16203716,0.14550715,0.03407454,0.27468678	0	0.01817847328800005	5505	1386	1087	5
46	40,29,256,1221	0.17603817,0.20625762,0.09816753,0.21572934	0	0.018914147097500007	2396	706	310	5
47	1792,41,22,33,43,42	0.00375229,0.02031552,0.03410393,0.07052417,0.02765528,0.00621377	0	0.0010411642289999844	1370	404	411	5
48	30,28,22,1790,1787,1784,34	0.04171891,0.07500203,0.00854922,0.02335763,0.02087829,0.01732353,0.01149135	0	0.001346977561000048	8105	1932	930	5
49	1851,55,397,392,-86,59,53	0.01889329,0.23377514,0.15373282,0.08211071,0.00084542,0.20791265,0.08986073	0	0.020228079372999953	1718	307	325	9
50	58,60,164,167,166,1472,1477,1476,208,57,56,54	0.02149063,0.00514462,0.03293345,0.06554999,0.16612797,0.04813983,0.04541767,0.07236238,0.11413822,0.03171119,0.07973043,0.08578870	0	0.018205346568499984	1623	321	402	9
51	-83,162,168,60,53	0.23389580,0.08314350,0.01583658,0.17344162,0.15079315	0	0.01666084021650006	849	159	229	9
52	56,57,54	0.04015374,0.01634014,0.08755970	0	0.00033478415699998856	2178	466	264	9
53	59,-84,51,60,58,1853,1852,1851,49	0.26296226,0.05465031,0.15079315,0.14945371,0.05160117,0.04870086,0.00804080,0.01859095,0.08986073	0	0.014031789350999887	1049	163	246	9
54	50,56,52,57,208,205,55,58	0.08578870,0.01970045,0.08755970,0.03081328,0.08405232,0.07123872,0.10617786,0.20777092	0	0.014093291451500074	1298	257	314	9
55	205,209,397,49,1851,1852,58,54	0.02903011,0.08113600,0.00899645,0.23377514,0.02169860,0.02909117,0.01744026,0.10617786	0	0.004153698817500081	1087	209	261	9
56	54,50,57,52	0.01970045,0.07973043,0.01378014,0.04015374	0	0.0006507703514999702	2291	503	406	9
57	52,56,50,208,54	0.01634014,0.01378014,0.03171119,0.04173325,0.03081328	0	0.0004994653034999723	589	150	126	9
58	55,1852,1855,1853,53,60,50,54	0.01744026,0.01152261,0.05408314,0.01306387,0.05160117,0.16013273,0.02149063,0.20777092	0	0.0048229498774999624	1300	308	340	9
59	49,-85,53	0.20791265,0.28992188,0.26296226	0	0.016051124261000013	628	97	169	9
60	53,51,168,164,50,58	0.14945371,0.17344162,0.03975935,0.07631514,0.00514462,0.16013273	0	0.009147544133499948	1640	368	437	9
61	63,65,62,1248,1252,1247	0.12889555,0.14889659,0.26795193,0.02138481,0.14379896,0.01151526	0	0.015485960815999913	2338	340	769	7
62	439,441,1248,61,65,64,329,376	0.18509105,0.06069205,0.17334040,0.26795193,0.11080437,0.03522075,0.33952916,0.00177322	0	0.026104908357499932	2342	561	670	7
