,Name,Error Type,Error Local 1,Error Local 2,Error Num 1,Error Num 2,Error Prec 1,Error Prec 2
0,2017 & 2016,Precincts Do Not Match: ALEXANDRIA CITY,,,28,27,"CORA KELLY,POTOMAC YARD",CORA KELLY CENTER
1,2017 & 2016,Precincts Do Not Match: ARLINGTON COUNTY,,,54,52,"MET PARK,GARFIELD PARK",
2,2017 & 2016,Precincts Do Not Match: FAIRFAX COUNTY,,,,,"NEWGATE,ARMY,GALLOWS EAST","NEWGATE NORTH,LORTON CENTER,NEWGATE SOUTH"
3,2017 & 2016,Precincts Do Not Match: HALIFAX COUNTY,,,20,21,,SOUTH BOSTON WEST
4,2017 & 2016,Precincts Do Not Match: HENRICO COUNTY,,,91,93,,"SUMMIT COURT,HILLIARD"
5,2017 & 2016,Precincts Do Not Match: LOUDOUN COUNTY,,,96,93,"JOHN CHAMPE,BRAMBLETON MIDDLE,STONE HILL",
6,2017 & 2016,Precincts Do Not Match: MANASSAS CITY,,,6,5,ROUND,
7,2017 & 2016,Precincts Do Not Match: RICHMOND CITY,,,66,65,TWO HUNDRED FOURTEEN,
8,2016 & 2015,Precincts Do Not Match: ACCOMACK COUNTY,,,16,17,NANDUA,"ONANCOCK,ONLEY"
9,2016 & 2015,Precincts Do Not Match: BOTETOURT COUNTY,,,10,14,,"ORISKANY,SPRINGWOOD,GLEN WILTON,ROARING RUN"
10,2016 & 2015,Precincts Do Not Match: CHARLOTTE COUNTY,,,7,9,"BACON/SAXE,CULLEN/RED HOUSE","CULLEN,BACON,RED HOUSE,SAXE"
11,2016 & 2015,Precincts Do Not Match: CHESTERFIELD COUNTY,,,75,73,"NORTH BIRD,WEST BEACH",
12,2016 & 2015,Precincts Do Not Match: DANVILLE CITY,,,16,17,,WARD FIVE
13,2016 & 2015,Precincts Do Not Match: FAIRFAX COUNTY,,,243,242,"ROTONDA,ARMSTRONG",STENWOOD
14,2016 & 2015,Precincts Do Not Match: HARRISONBURG CITY,,,8,7,SOUTH EAST CENTRAL,
15,2016 & 2015,Precincts Do Not Match: HENRICO COUNTY,,,93,92,ESSEX VILLAGE,
16,2016 & 2015,Precincts Do Not Match: JAMES CITY COUNTY,,,19,18,BERKELEY D,
17,2016 & 2015,Precincts Do Not Match: MIDDLESEX COUNTY,,,6,7,,WATERVIEW
